leito,unidade
UNN 04,UTI Neo
UNN 05,UTI Neo
UNP 01,UTI Ped
UNP 02,UTI Ped
UNP 03,UTI Ped
UNP 04,UTI Ped
UNP 05,UTI Ped
UNP 06,UTI Ped
UNP 07,UTI Ped
UNP 08,UTI Ped
UNP 09,UTI Ped
UNP 10,UTI Ped
UNP 11,UTI Ped
UNP 12,UTI Ped
UNP 13,UTI Ped
UTI D 01,UTI D
UTI D 02,UTI D
UTI D 04,UTI D
UTI D 05,UTI D
UTI D 06,UTI D
UTI D 07,UTI D
UTI D 08,UTI D
UTI PD06,UTI Ped
UTI PD07,UTI Ped
UTI PD08,UTI Ped
UTIA 01,UTI A
UTIA 02,UTI A
UTIA 03,UTI A
UTIA 04,UTI A
UTIA 05,UTI A
UTIA 06,UTI A
UTIA 07,UTI A
UTIA 08,UTI A
UTIA 09,UTI A
UTIA 10,UTI A
UTIA 11,UTI A
UTIA 12,UTI A
UTIA 13,UTI A
UTIA 14,UTI A
UTIA 15,UTI A
UTIA 16,UTI A
UTIA 17,UTI A
UTIA 18,UTI A
UTIA 19,UTI A
UTIA 20,UTI A
UTIA 21,UTI A
UTIA 22,UTI A
UTIA 23,UTI A
UTIA1 01,UTI A1
UTIA1 02,UTI A1
UTIA1 03,UTI A1
UTIA1 04,UTI A1
UTIA1 05,UTI A1
UTIA1 06,UTI A1
UTIA1 07,UTI A1
UTIA1 08,UTI A1
UTIA1 09,UTI A1
UTIA1 10,UTI A1
UTIA1 11,UTI A1
UTIA2 02,UTI A2
UTIA2 03,UTI A2
UTIA2 04,UTI A2
UTIA2 05,UTI A2
UTIA2 06,UTI A2
UTIA2 07,UTI A2
UTIA2 08,UTI A2
UTIA2 09,UTI A2
UTIA2 10,UTI A2
UTIA2 11,UTI A2
UTIA2 21,UTI A2
UTIA2 22,UTI A2
UTIA2 23,UTI A2
UTIA2 24,UTI A2
UTIA2 25,UTI A2
UTIA2 26,UTI A2
UTIA2 27,UTI A2
UTIA2 28,UTI A2
UTIA2 29,UTI A2
UTIA2 30,UTI A2
UTIA2 31,UTI A2
UTIA2 32,UTI A2
UTIB 01,UTI B
UTIB 02,UTI B
UTIB 03,UTI B
UTIB 04,UTI B
UTIB 05,UTI B
UTIB 06,UTI B
UTIB 07,UTI B
UTIB 08,UTI B
UTIB 09,UTI B
UTIB 10,UTI B
UTIB 11,UTI B
UTIB201,UTI B
UTIB202,UTI B
UTIB203,UTI B
UTIB204,UTI B
UTIB205,UTI B
UTIB206,UTI B
UTIB207A,UTI B
UTIB207B,UTI B
UTIB208A,UTI B
UTIB208B,UTI B
UTIB209A,UTI B
UTIB209B,UTI B
UTIB210A,UTI B
UTIB210B,UTI B
UTIB211,UTI B
UTIB212,UTI B
UTIB213,UTI B
UTIB214,UTI B
UTIB215,UTI B
UTIB216,UTI B
UTIB217,UTI B
UTIB218,UTI B
UTIB219,UTI B
UTIC01,UTI C
UTIC02,UTI C
UTIC03,UTI C
UTIC04,UTI C
UTIC05,UTI C
UTIC06,UTI C
UTIC07,UTI C
UTIC08,UTI C
UTIC09,UTI C
UTIC10,UTI C
UTPP01,UTI Ped
UTPP02,UTI Ped
UTPP03,UTI Ped
UTPP04,UTI Ped
UTPP05,UTI Ped
UTPP06,UTI Ped
UTPP07,UTI Ped
UTPP09,UTI Ped
UTPP10,UTI Ped
