registro_ans,fonte
325236,Medicina de Grupo
325457,Autogestão
325465,Medicina de Grupo
325571,Cooperativa Médica
325759,Cooperativa Médica
326089,Cooperativa Médica
326305,Medicina de Grupo
326356,Medicina de Grupo
326500,Medicina de Grupo
326755,Filantropia
326861,Medicina de Grupo
327263,Cooperativa Médica
327328,Medicina de Grupo
327352,Cooperativa Médica
327417,Medicina de Grupo
327468,Cooperativa Médica
327492,Medicina de Grupo
327557,Autogestão
327638,Cooperativa Médica
327689,Cooperativa Médica
328031,Cooperativa Médica
328073,Cooperativa Médica
328294,Cooperativa Médica
328308,Cooperativa Médica
328332,Medicina de Grupo
328375,Cooperativa Médica
328537,Medicina de Grupo
328561,Autogestão
328596,Cooperativa Médica
328774,Medicina de Grupo
329207,Medicina de Grupo
329266,Medicina de Grupo
329282,Autogestão
329339,Cooperativa Médica
329355,Filantropia
329525,Medicina de Grupo
329665,Autogestão
329886,Cooperativa Médica
330027,Autogestão
330051,Autogestão
330108,Cooperativa Médica
330116,Filantropia
330141,Medicina de Grupo
330183,Autogestão
330264,Cooperativa Médica
330281,Autogestão
330337,Filantropia
330566,Cooperativa Médica
330809,Autogestão
330876,Filantropia
330892,Medicina de Grupo
330957,Medicina de Grupo
331309,Medicina de Grupo
331317,Autogestão
331341,Cooperativa Médica
331490,Medicina de Grupo
331635,Autogestão
331651,Cooperativa Médica
331805,Filantropia
331856,Autogestão
331872,Cooperativa Médica
331988,Autogestão
332291,Medicina de Grupo
333051,Cooperativa Médica
333221,Cooperativa Médica
333328,Medicina de Grupo
333514,Filantropia
333638,Medicina de Grupo
333662,Cooperativa Médica
333689,Medicina de Grupo
333719,Cooperativa Médica
333735,Medicina de Grupo
333808,Filantropia
333867,Medicina de Grupo
333875,Filantropia
333981,Medicina de Grupo
334154,Cooperativa Médica
334189,Autogestão
334511,Cooperativa Médica
334561,Cooperativa Médica
334651,Filantropia
334685,Autogestão
334847,Cooperativa Médica
335070,Medicina de Grupo
335100,Cooperativa Médica
335215,Cooperativa Médica
335479,Cooperativa Médica
335517,Cooperativa Médica
335541,Cooperativa Médica
335592,Cooperativa Médica
335614,Medicina de Grupo
335657,Medicina de Grupo
335690,Cooperativa Médica
335754,Autogestão
335762,Filantropia
335789,Autogestão
335801,Medicina de Grupo
335851,Medicina de Grupo
336084,Filantropia
336106,Cooperativa Médica
336165,Autogestão
336432,Cooperativa Médica
336441,Autogestão
336467,Cooperativa Médica
336831,Filantropia
336858,Cooperativa Médica
337188,Cooperativa Médica
